state,county,cases
Texas,Andrews County,1
Texas,Borden County,1
Texas,Brown County,1
Texas,Cochran County,11
Texas,Dallam County,7
Texas,Dawson County,21
Texas,Ector County,8
Texas,El Paso County,3
Texas,Erath County,1
Texas,Gaines County,355
Texas,Garza County,2
Texas,Hale County,5
Texas,Hockley County,3
Texas,Lamar County,11
Texas,Lamb County,1
Texas,Lubbock County,38
Texas,Lynn County,2
Texas,Martin County,3
Texas,Midland County,1
Texas,Randall County,1
Texas,Terry County,47
Texas,Yoakum County,18
